"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"Biobase","Biobase","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.66.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"BiocFileCache","BiocFileCache","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.14.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"BiocGenerics","BiocGenerics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.52.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"BiocManager","BiocManager","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.30.25",NA,NA,"utils",NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.2"
"BiocVersion","BiocVersion","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.20.0",NA,"R (>= 4.4.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"biomaRt","biomaRt","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.62.0",NA,"methods","utils, AnnotationDbi, progress, stringr, httr2, digest,
BiocFileCache, rappdirs, xml2, curl",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, httptest2",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"Biostrings","Biostrings","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.74.0",NA,"R (>= 4.0.0), BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, stats, crayon","S4Vectors, IRanges, XVector","graphics, pwalign, BSgenome (>= 1.13.14),
BSgenome.Celegans.UCSC.ce2 (>= 1.3.11),
BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr,
testthat (>= 3.0.0), covr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"bipartite","bipartite","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.20",NA,"R(>= 3.5.0), vegan, sna","fields, igraph, MASS, methods, permute",NA,"knitr",NA,"GPL",NA,NA,NA,NA,"yes","4.4.2"
"bit","bit","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.5.0.1",NA,"R (>= 3.4.0)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"bit64","bit64","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.5.2",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"bitops","bitops","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-9",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"biwavelet","biwavelet","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.20.22",NA,NA,"fields, foreach, methods, Rcpp (>= 0.12.2)","Rcpp","testthat, knitr, rmarkdown, devtools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"blob","blob","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"boot","boot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3-31","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.4.2"
"brew","brew","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"brio","brio","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"broom","broom","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.7",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg (>= 3.2-1), biglm, binGroup, boot,
btergm (>= 1.10.6), car (>= 3.1-2), carData, caret, cluster,
cmprsk, coda, covr, drc, e1071, emmeans, epiR, ergm (>=
3.10.4), fixest (>= 0.9.0), gam (>= 1.15), gee, geepack,
ggplot2, glmnet, glmnetUtils, gmm, Hmisc, irlba, interp,
joineRML, Kendall, knitr, ks, Lahman, lavaan (>= 0.6.18),
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests (>= 0.1.6), muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rmarkdown, robust, robustbase, rsample,
sandwich, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival (>= 3.6-4), systemfit, testthat (>= 2.1.0),
tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"bslib","bslib","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"cachem","cachem","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"Cairo","Cairo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6-2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"callr","callr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"car","car","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-3",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, ordinal, plotrix, mvtnorm, rgl (>= 0.111.3), rio,
sandwich, SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"carData","carData","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"cards","cards","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,"R (>= 4.1)","cli (>= 3.6.1), dplyr (>= 1.1.2), glue (>= 1.6.2), rlang (>=
1.1.1), tidyr (>= 1.3.0), tidyselect (>= 1.2.0)",NA,"spelling (>= 2.2.0), testthat (>= 3.2.0), withr (>= 3.0.0)",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.4.2"
"caret","caret","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"caTools","caTools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.18.3",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"causalweight","causalweight","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.1",NA,"R (>= 3.5.0), ranger","mvtnorm, np, LARF, hdm, SuperLearner, glmnet, xgboost, e1071,
fastDummies, grf, checkmate, sandwich",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"cellranger","cellranger","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"checkmate","checkmate","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.2",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"class","class","C:/Users/zhouy/AppData/Local/R/win-library/4.4","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"classInt","classInt","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4-10",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"cli","cli","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.6.3",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"clipr","clipr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"clock","clock","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.7.1",NA,"R (>= 3.6.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"cluster","cluster","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.7","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"coda","coda","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"codetools","codetools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2-20","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"collections","collections","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.7",NA,NA,NA,NA,"testthat (>= 2.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"colorspace","colorspace","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"commonmark","commonmark","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9.2",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"COMPARETESTS","COMPARETESTS","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.0",NA,"mvtnorm, numDeriv",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"CompQuadForm","CompQuadForm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"conflicted","conflicted","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"corpcor","corpcor","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.10",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"corrplot","corrplot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.95",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"cowplot","cowplot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.3",NA,"R (>= 3.5.0)","ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"cpp11","cpp11","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.1",NA,"R (>= 4.0.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"crayon","crayon","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"credentials","credentials","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"crosstalk","crosstalk","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"CSTE","CSTE","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.0.0",NA,NA,"Rcpp (>= 1.0.4), fda, splines, survival, locpol, dfoptim","Rcpp","mvtnorm, sigmoid",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"cubature","cubature","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"curl","curl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.0.1",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"cvAUC","cvAUC","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.4",NA,NA,"ROCR, data.table",NA,NA,NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.1"
"cyclocomp","cyclocomp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.1",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"data.table","data.table","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.16.4",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"datawizard","datawizard","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.13.0",NA,"R (>= 3.6)","insight (>= 0.20.5), stats, utils",NA,"bayestestR, boot, brms, curl, data.table, dplyr (>= 1.1),
effectsize, emmeans, gamm4, ggplot2 (>= 3.5.0), gt, haven,
httr, knitr, lme4, mediation, modelbased, parameters (>=
0.21.7), poorman (>= 0.2.7), psych, readxl, readr, rio,
rmarkdown, rstanarm, see, testthat (>= 3.2.1), tibble, tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"DBI","DBI","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"dbplyr","dbplyr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.5.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"DelayedArray","DelayedArray","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.32.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.51.3), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3), S4Arrays (>= 1.5.4), SparseArray (>=
1.5.42)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"deldir","deldir","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"denstrip","denstrip","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.4",NA,"R (>= 2.15)","lattice",NA,NA,"survival","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
